ID,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,class
1,1,0,21,1,1.0,1.0,1,4.0,4.0,4
2,1,1,37,1,2.0,,2,3.0,4.0,1
3,1,1,66,1,2.0,1.0,1,1.0,6.0,2
4,1,1,66,1,3.0,0.0,3,2.0,6.0,2
5,1,1,39,1,4.0,,3,6.0,6.0,1
6,1,1,55,1,5.0,0.0,2,2.0,6.0,3
7,1,0,31,1,1.0,1.0,1,3.0,6.0,3
8,1,0,32,1,1.0,1.0,1,3.0,6.0,4
9,1,1,60,1,2.0,0.0,1,3.0,7.0,4
10,1,1,54,1,5.0,1.0,2,4.0,6.0,3
11,1,0,25,1,2.0,1.0,1,3.0,6.0,1
12,1,0,18,1,1.0,4.0,1,4.0,4.0,4
13,1,0,18,1,6.0,0.0,1,,3.0,4
14,1,1,69,1,3.0,,1,1.0,6.0,1
15,1,1,57,1,7.0,0.0,1,1.0,3.0,2
16,1,0,40,1,1.0,1.0,1,2.0,1.0,3
17,1,0,31,1,8.0,9.0,1,5.0,3.0,4
18,1,0,30,1,1.0,1.0,1,6.0,6.0,2
19,1,1,57,1,4.0,1.0,2,4.0,6.0,2
20,1,1,78,1,5.0,0.0,3,1.0,6.0,3
21,1,1,48,1,8.0,12.0,1,1.0,3.0,1
22,1,0,17,1,1.0,3.0,1,4.0,6.0,4
23,1,1,32,1,5.0,13.0,1,2.0,3.0,1
24,1,0,35,1,5.0,5.0,1,2.0,6.0,2
25,1,1,57,1,6.0,1.0,2,3.0,3.0,2
26,1,1,55,1,5.0,1.0,2,3.0,6.0,3
27,1,0,30,1,1.0,9.0,1,8.0,4.0,1
28,1,1,48,1,5.0,1.0,2,3.0,6.0,3
29,1,0,34,1,5.0,0.0,1,1.0,6.0,2
30,1,0,34,1,5.0,5.0,1,4.0,6.0,3
31,1,1,44,1,5.0,0.0,1,3.0,6.0,3
32,1,1,41,1,7.0,1.0,1,2.0,4.0,1
33,1,0,18,1,1.0,1.0,1,3.0,2.0,4
34,1,0,25,1,8.0,9.0,1,,6.0,4
35,1,1,82,1,3.0,1.0,3,2.0,6.0,4
36,1,0,26,1,1.0,3.0,1,4.0,1.0,4
37,1,0,31,1,7.0,5.0,1,1.0,4.0,4
38,1,1,27,1,1.0,1.0,2,5.0,3.0,4
39,1,1,27,1,5.0,8.0,1,2.0,6.0,1
40,1,1,55,1,5.0,,2,2.0,6.0,3
41,1,0,46,1,5.0,4.0,1,1.0,6.0,2
42,1,0,21,1,1.0,0.0,1,2.0,6.0,4
43,1,0,26,1,5.0,14.0,1,3.0,6.0,1
44,1,1,48,1,5.0,1.0,1,2.0,,3
45,1,1,39,1,2.0,8.0,1,1.0,6.0,1
46,1,1,78,1,3.0,,3,2.0,6.0,1
47,1,1,40,1,5.0,0.0,2,4.0,4.0,2
48,1,0,28,1,1.0,,1,1.0,7.0,1
49,1,0,18,1,1.0,0.0,1,4.0,6.0,4
50,1,0,44,1,2.0,1.0,1,1.0,6.0,1
51,1,1,60,1,5.0,1.0,2,2.0,2.0,2
52,1,1,35,1,5.0,1.0,2,2.0,6.0,3
53,1,1,39,1,5.0,1.0,1,1.0,3.0,1
54,1,1,56,1,4.0,0.0,2,2.0,6.0,3
55,1,1,75,1,9.0,1.0,1,1.0,4.0,1
56,1,1,31,1,5.0,14.0,2,2.0,6.0,2
57,1,0,24,1,1.0,9.0,1,4.0,6.0,4
58,1,0,31,1,7.0,8.0,1,2.0,6.0,4
59,1,1,44,1,5.0,1.0,2,3.0,3.0,3
60,1,1,71,1,3.0,1.0,1,,4.0,4
61,1,1,47,1,5.0,0.0,2,2.0,6.0,3
62,1,1,54,1,5.0,9.0,2,2.0,1.0,3
63,1,1,73,1,3.0,0.0,3,3.0,6.0,4
64,1,1,55,1,3.0,1.0,3,2.0,6.0,1
65,1,1,58,1,3.0,7.0,3,2.0,6.0,1
66,1,0,24,1,4.0,0.0,1,2.0,6.0,1
67,1,1,30,1,7.0,0.0,2,2.0,6.0,1
68,1,0,26,1,5.0,8.0,1,4.0,6.0,1
69,1,1,56,1,5.0,0.0,2,4.0,6.0,2
70,1,1,38,1,8.0,,3,2.0,6.0,1
71,1,1,26,1,1.0,8.0,1,2.0,6.0,4
72,1,1,50,1,4.0,8.0,2,2.0,6.0,1
73,1,1,46,1,5.0,0.0,2,5.0,6.0,2
74,1,0,32,1,1.0,8.0,1,4.0,6.0,4
75,1,1,55,1,5.0,0.0,2,4.0,6.0,3
76,1,0,32,1,8.0,0.0,1,3.0,6.0,2
77,1,0,35,1,7.0,0.0,1,2.0,6.0,4
78,1,1,50,1,5.0,4.0,1,3.0,4.0,1
79,1,1,44,1,2.0,2.0,2,2.0,6.0,3
80,1,0,48,1,,1.0,1,1.0,6.0,4
81,1,0,29,1,1.0,0.0,1,4.0,6.0,3
82,1,0,25,1,1.0,6.0,1,3.0,5.0,4
83,1,1,62,1,5.0,8.0,1,1.0,6.0,1
